id,uri,name,artists,album.name,album.release_date,album.release_date_precision,preview_url,release_year
77Oww6V7jooOd7aNEMnFJ3,spotify:track:77Oww6V7jooOd7aNEMnFJ3,"Take My Breath Away - Love Theme from ""Top Gun""",['Berlin'],TOP GUN/SOUNDTRACK,1986-06-30,day,https://p.scdn.co/mp3-preview/67a324ee29803106f9e003f2997002cad4052891?cid=74d3dcba17084a749f20d4d3a2640dec,1986
3a75hzF5pKpBskBZAonmUV,spotify:track:3a75hzF5pKpBskBZAonmUV,Porque Te Vas,['José Luis Perales'],Perales,1986,year,https://p.scdn.co/mp3-preview/9d18ef205fdfe51b5595482fb226a660a88e026e?cid=74d3dcba17084a749f20d4d3a2640dec,1986
3jTavhTXfWlnu8zsn9NCAY,spotify:track:3jTavhTXfWlnu8zsn9NCAY,Angie's Heart,['Modern Talking'],Ready For Romance,1986,year,https://p.scdn.co/mp3-preview/e33807a751bf205983bd79001a34319413ab54e4?cid=74d3dcba17084a749f20d4d3a2640dec,1986
1jaVdF0FSPTWi8E4MWiLPR,spotify:track:1jaVdF0FSPTWi8E4MWiLPR,La Isla Bonita - Extended Remix,"['Madonna', 'Chris Lord-Alge']",True Blue (Reissue),1986-06-30,day,https://p.scdn.co/mp3-preview/9ff3c2b8a9e90de679d37d320fe5f77c4cd1dad7?cid=74d3dcba17084a749f20d4d3a2640dec,1986
3QLqZAlCLs0OqjmnCPosqj,spotify:track:3QLqZAlCLs0OqjmnCPosqj,So Cold the Night,['The Communards'],Communards,1986-01-01,day,https://p.scdn.co/mp3-preview/b3afedab3c0df7066a68b7c1390c35ce6dd839c9?cid=74d3dcba17084a749f20d4d3a2640dec,1986
2M8KIcC0rsVo4lrDcModEj,spotify:track:2M8KIcC0rsVo4lrDcModEj,Eres Para Mi,['Queco'],Dragones Y Mezquitas + Amame,1986,year,https://p.scdn.co/mp3-preview/3f0bdb261707afa1fa14a3cdfec88b51cc225ad9?cid=74d3dcba17084a749f20d4d3a2640dec,1986
7GHjLzWhWgcqZI1iYprmJY,spotify:track:7GHjLzWhWgcqZI1iYprmJY,Lili Marlen,['Ole Ole'],Bailando Sin Salir De Casa,1986-05-04,day,https://p.scdn.co/mp3-preview/70759a40181b09abbdd7f18cf151aa9e08922ad4?cid=74d3dcba17084a749f20d4d3a2640dec,1986
0YZqF1l4kxXehy36UzJd3Q,spotify:track:0YZqF1l4kxXehy36UzJd3Q,Brindaremos por El,['José Luis Perales'],Perales,1986,year,https://p.scdn.co/mp3-preview/7a0a6eacf06c425177a15f57bf89a80f8e4ec493?cid=74d3dcba17084a749f20d4d3a2640dec,1986
5pzEYTNR667VbDAUmMpF0S,spotify:track:5pzEYTNR667VbDAUmMpF0S,I've Been Losing You,['a-ha'],Scoundrel Days (Deluxe Edition),1986-10-06,day,https://p.scdn.co/mp3-preview/e549420f95ab0629e255294e1e592bcacbd5873e?cid=74d3dcba17084a749f20d4d3a2640dec,1986
46yvDETOjQkD0jd8udp9gQ,spotify:track:46yvDETOjQkD0jd8udp9gQ,Hoy Me Acordé De Ti,['José Luis Perales'],Perales,1986,year,https://p.scdn.co/mp3-preview/1f4a8d7ffdbd4f71f01912aa8b85072825a250b6?cid=74d3dcba17084a749f20d4d3a2640dec,1986
3dZHWv3IsAQLzAr7FLJoJA,spotify:track:3dZHWv3IsAQLzAr7FLJoJA,Bello e impossibile,['Gianna Nannini'],Profumo,1986-11-27,day,https://p.scdn.co/mp3-preview/7aa157aff2b7ee26692f3149d40e1bf7adaee77a?cid=74d3dcba17084a749f20d4d3a2640dec,1986
3vnXEzumb3SpdunyAZCaoX,spotify:track:3vnXEzumb3SpdunyAZCaoX,Me Hace Falta una Flor,['Pimpinela'],El Duende Azul,1986-08-29,day,https://p.scdn.co/mp3-preview/9a1e61e3bc65500f9b8c639134baf2bf969a48e1?cid=74d3dcba17084a749f20d4d3a2640dec,1986
1wM7EO7FKR0i26UqLN9p2l,spotify:track:1wM7EO7FKR0i26UqLN9p2l,Dance With Me,['Alphaville'],Afternoons in Utopia,1986-05-23,day,https://p.scdn.co/mp3-preview/5a708441edc013fa204678530877123daf6f93a1?cid=74d3dcba17084a749f20d4d3a2640dec,1986
51sOMAqntkvxYpPlgpIIxg,spotify:track:51sOMAqntkvxYpPlgpIIxg,Please Release Me,['Engelbert Humperdinck'],Best Of Romance,1986,year,https://p.scdn.co/mp3-preview/5f517f60a6eef8c06a61e14fb212a34f904bdfe1?cid=74d3dcba17084a749f20d4d3a2640dec,1986
2leObSGpCETIDpfGkqAgfU,spotify:track:2leObSGpCETIDpfGkqAgfU,Indiana,['Hombres G'],La Cagaste... Burt Lancaster,1986,year,https://p.scdn.co/mp3-preview/6a18dfddf660aca84a9dea004f39f82f64c8b5d8?cid=74d3dcba17084a749f20d4d3a2640dec,1986
5PSES4lFkqiLk2ERayuuha,spotify:track:5PSES4lFkqiLk2ERayuuha,Y Aquí Estoy,['Ana Gabriel'],Sagitario,1986-08-02,day,https://p.scdn.co/mp3-preview/65457f503132e9f8b734fab0542e272a6a2b313b?cid=74d3dcba17084a749f20d4d3a2640dec,1986
2P9ZjaCV2GeIb6Xy5BMsNV,spotify:track:2P9ZjaCV2GeIb6Xy5BMsNV,Las curvas de esa chica,['Mecano'],Entre el Cielo y el Suelo (Bonus Tracks Edition),1986-06-16,day,https://p.scdn.co/mp3-preview/70e631eacaffdf67aa35704f11fa422ccd4b7f06?cid=74d3dcba17084a749f20d4d3a2640dec,1986
2dURQIBrw3XcHyVZlfdpC1,spotify:track:2dURQIBrw3XcHyVZlfdpC1,Two of Hearts,['Stacey Q'],Better Than Heaven,1986-08-18,day,https://p.scdn.co/mp3-preview/9426c57cd0292f6d5470520cee905828c8071a3c?cid=74d3dcba17084a749f20d4d3a2640dec,1986
6X8J99PRgZx5m2xVe6Ou7c,spotify:track:6X8J99PRgZx5m2xVe6Ou7c,Toda la Vida,['Emmanuel'],Desnudo Emmanuel,1986,year,https://p.scdn.co/mp3-preview/4e99734a574278d708c13f25d155f62857fcf00c?cid=74d3dcba17084a749f20d4d3a2640dec,1986
2tUBqZG2AbRi7Q0BIrVrEj,spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,I Wanna Dance with Somebody (Who Loves Me),['Whitney Houston'],Whitney,1987-06-02,day,https://p.scdn.co/mp3-preview/74416b6f12f779264e1628eab3c8ad7ab301634f?cid=74d3dcba17084a749f20d4d3a2640dec,1987
4cOdK2wGLETKBW3PvgPWqT,spotify:track:4cOdK2wGLETKBW3PvgPWqT,Never Gonna Give You Up,['Rick Astley'],Whenever You Need Somebody,1987-11-12,day,https://p.scdn.co/mp3-preview/0b6da17f858f104337fac626c4bac972d3947564?cid=74d3dcba17084a749f20d4d3a2640dec,1987
3UIENhLRdFIOuRan92cAQu,spotify:track:3UIENhLRdFIOuRan92cAQu,En algún lugar,['Duncan Dhu'],El Grito Del Tiempo,1987-01-17,day,https://p.scdn.co/mp3-preview/786ab9eae518fcdf94c7b925758dbc4a7d61a83b?cid=74d3dcba17084a749f20d4d3a2640dec,1987
0HEmnAUT8PHznIAAmVXqFJ,spotify:track:0HEmnAUT8PHznIAAmVXqFJ,Faith - Remastered,['George Michael'],Faith,1987-10-30,day,https://p.scdn.co/mp3-preview/ad227db8dedb8bbe85768d81a804db1d6e537967?cid=74d3dcba17084a749f20d4d3a2640dec,1987
1uKjQoh8JZj9ryuYRhpd7E,spotify:track:1uKjQoh8JZj9ryuYRhpd7E,Ahora Te Puedes Marchar,['Luis Miguel'],Soy Como Quiero Ser,1987-07-15,day,https://p.scdn.co/mp3-preview/57e6413be56dbc09a85ca09a3e1197119d88a48f?cid=74d3dcba17084a749f20d4d3a2640dec,1987
3X7uFMzJrEE0sxn62qd8Ch,spotify:track:3X7uFMzJrEE0sxn62qd8Ch,Nothing's Gonna Stop Us Now,['Starship'],No Protection,1987-07-27,day,https://p.scdn.co/mp3-preview/816f10a8fed480bb09e3f73b79c97571791fc78f?cid=74d3dcba17084a749f20d4d3a2640dec,1987
41JrRedwrJxbBPwI8Qku04,spotify:track:41JrRedwrJxbBPwI8Qku04,Pacto Entre Caballeros,['Joaquín Sabina'],"Hotel, Dulce Hotel",1987-08-31,day,https://p.scdn.co/mp3-preview/9694ffdf7aba16d3d7ab75f7a3de8de754775209?cid=74d3dcba17084a749f20d4d3a2640dec,1987
0kGEwM9SuACvojllsFMpAR,spotify:track:0kGEwM9SuACvojllsFMpAR,La mataré - 2013 Remastered Version,['Loquillo Y Los Trogloditas'],Mis Problemas Con Las Mujeres,1987-04-16,day,https://p.scdn.co/mp3-preview/35070a46b97c4e480cc2619bdf3fbfa5ccb536eb?cid=74d3dcba17084a749f20d4d3a2640dec,1987
0sKlV58cODrjxGFOyf9IXY,spotify:track:0sKlV58cODrjxGFOyf9IXY,The Way You Make Me Feel - 2012 Remaster,['Michael Jackson'],Bad 25th Anniversary,1987-08-31,day,https://p.scdn.co/mp3-preview/93f122101d44b96287fa0dea98f1b0f133a413b8?cid=74d3dcba17084a749f20d4d3a2640dec,1987
1nLOdVT581H7SA0ttCZRF9,spotify:track:1nLOdVT581H7SA0ttCZRF9,Una calle de París,['Duncan Dhu'],El Grito Del Tiempo,1987-01-17,day,https://p.scdn.co/mp3-preview/51a02a5268ecfb22e3b2461da037377aa86f6bbb?cid=74d3dcba17084a749f20d4d3a2640dec,1987
16k0xwujtU1eoSLEfofWQ8,spotify:track:16k0xwujtU1eoSLEfofWQ8,Eloise,['Tino Casal'],Lágrimas De Cocodrilo,1987-01-25,day,https://p.scdn.co/mp3-preview/eca53d80c384179fa213e33e86cf2e151e00dae5?cid=74d3dcba17084a749f20d4d3a2640dec,1987
5eFiEFtrq5dLgVHSZANUNl,spotify:track:5eFiEFtrq5dLgVHSZANUNl,Together Forever,['Rick Astley'],Whenever You Need Somebody,1987-11-12,day,https://p.scdn.co/mp3-preview/689047f311924a424df22e24642ae30668b01e24?cid=74d3dcba17084a749f20d4d3a2640dec,1987
6IDHh3FcwLVcG5NsmpQgg2,spotify:track:6IDHh3FcwLVcG5NsmpQgg2,It's a Sin - 2001 Remaster,['Pet Shop Boys'],Actually,1987-09-07,day,https://p.scdn.co/mp3-preview/11a70856c8401158f1ad9849f3f6be17efc850d6?cid=74d3dcba17084a749f20d4d3a2640dec,1987
345wiXlfRlPPmZE9qOLpcq,spotify:track:345wiXlfRlPPmZE9qOLpcq,Asi Estoy Yo Sin Ti,['Joaquín Sabina'],"Hotel, Dulce Hotel",1987-08-31,day,https://p.scdn.co/mp3-preview/d0504af02e99417cb8697184a9b5f7b42024ef65?cid=74d3dcba17084a749f20d4d3a2640dec,1987
3La01jjk5XfvpdyOCMlV1A,spotify:track:3La01jjk5XfvpdyOCMlV1A,Lo Mejor De Tu Vida,['Julio Iglesias'],Un Hombre Solo,1987-10-23,day,https://p.scdn.co/mp3-preview/bb76a555a696a2a88e4c61d539cec72c2096d3a2?cid=74d3dcba17084a749f20d4d3a2640dec,1987
1bpOD9jv1ge8RiyKccjLHW,spotify:track:1bpOD9jv1ge8RiyKccjLHW,Corazón mágico,['Dyango'],Grandes Éxitos,1987,year,https://p.scdn.co/mp3-preview/a8d96ff5f5fd87004c84120d12afbd9d1fd598fe?cid=74d3dcba17084a749f20d4d3a2640dec,1987
1kiNatIrwDusOZfR29W0LJ,spotify:track:1kiNatIrwDusOZfR29W0LJ,Man in the Mirror - 2012 Remaster,['Michael Jackson'],Bad 25th Anniversary,1987-08-31,day,https://p.scdn.co/mp3-preview/9b6d9730b531defe7f54062497657293e67690fe?cid=74d3dcba17084a749f20d4d3a2640dec,1987
6A48JrV1QyIbmd5cZglvRl,spotify:track:6A48JrV1QyIbmd5cZglvRl,Never Can Say Goodbye,['The Communards'],Red,1987-01-01,day,https://p.scdn.co/mp3-preview/7024fde4d9b31e42c3dac4211283a448cde793b6?cid=74d3dcba17084a749f20d4d3a2640dec,1987
