id,uri,name,artists,album.name,album.release_date,album.release_date_precision,preview_url
6MxLKSeB8AxbIm5I6hRUYt,spotify:track:6MxLKSeB8AxbIm5I6hRUYt,Znameni (Live),['DIVOKEJ BILL'],Lucerna Live,1900,year,https://p.scdn.co/mp3-preview/57fdd792aaccdfdd18d019c3cff3513bc0ad7805?cid=74d3dcba17084a749f20d4d3a2640dec
2xKqPZXnV4sZGGAsdyFtoD,spotify:track:2xKqPZXnV4sZGGAsdyFtoD,Stroj (Live),['DIVOKEJ BILL'],Lucerna Live,1900,year,https://p.scdn.co/mp3-preview/f586e1c1c4b3b2bda65ea7ca52e078f9f8f60933?cid=74d3dcba17084a749f20d4d3a2640dec
5CSPUKmfZdLKgqDDIYcrxl,spotify:track:5CSPUKmfZdLKgqDDIYcrxl,Vesnicani,['DIVOKEJ BILL'],Divokej Bill,1900,year,https://p.scdn.co/mp3-preview/43037b75c5cf2fc8c01516311740396cf2f93598?cid=74d3dcba17084a749f20d4d3a2640dec
3cleSRHBbIVio6HxiFgHgY,spotify:track:3cleSRHBbIVio6HxiFgHgY,Plakala (Live),['DIVOKEJ BILL'],Lucerna Live,1900,year,https://p.scdn.co/mp3-preview/36259970b0e088de695ad8792b84c23498e6f925?cid=74d3dcba17084a749f20d4d3a2640dec
1XTHfEkhg9SF92qsLOhflG,spotify:track:1XTHfEkhg9SF92qsLOhflG,Rozarka (Live),['DIVOKEJ BILL'],Lucerna Live,1900,year,https://p.scdn.co/mp3-preview/b84406f9abbdee244d1498c50f57dc9c8a05d0fd?cid=74d3dcba17084a749f20d4d3a2640dec
1qkzEiZdlD5NfZpEAsnUEp,spotify:track:1qkzEiZdlD5NfZpEAsnUEp,Pocit (Live),['DIVOKEJ BILL'],Lucerna Live,1900,year,https://p.scdn.co/mp3-preview/1915d066756f0e55a7879eca6012addeebde493d?cid=74d3dcba17084a749f20d4d3a2640dec
6vHpKcLrpFgnzstPbu4OAN,spotify:track:6vHpKcLrpFgnzstPbu4OAN,Dvaja rockeri na techno-party,['Horkýže Slíže'],Ritero Xaperle Bax,1900,year,https://p.scdn.co/mp3-preview/3e359db4865d5ca371aa0b503d6d388860c4c43d?cid=74d3dcba17084a749f20d4d3a2640dec
6jx3DPBTTmLgShm4w0GGhR,spotify:track:6jx3DPBTTmLgShm4w0GGhR,Archa (Live),['DIVOKEJ BILL'],Lucerna Live,1900,year,https://p.scdn.co/mp3-preview/85d85b67744f5d7df61c0b585096ffe4fa2707a5?cid=74d3dcba17084a749f20d4d3a2640dec
4XtFIMaYqAIuCepSzTRb4b,spotify:track:4XtFIMaYqAIuCepSzTRb4b,Armada (Live),['DIVOKEJ BILL'],Lucerna Live,1900,year,https://p.scdn.co/mp3-preview/ff8d443f171e7685bdff4772b8c8d9276b53666f?cid=74d3dcba17084a749f20d4d3a2640dec
7uToSIA6s8ZP0yuWXOb01j,spotify:track:7uToSIA6s8ZP0yuWXOb01j,Zielone Szkie£Ko,['Robert Kasprzycki'],Niebo Do Wynajecia,1900,year,https://p.scdn.co/mp3-preview/bacb50bbaa57d586d2adb96d47f45d89bfdbe35f?cid=74d3dcba17084a749f20d4d3a2640dec
